OBJECTID,Band140per,Band1mean,Band1median,Band1thirdquart,Band1std deviation,Band1firstquart,Band240per,Band2mean,Band2median,Band2thirdquart,Band2std deviation,Band2firstquart,Band340per,Band3mean,Band3median,Band3thirdquart,Band3std deviation,Band3firstquart,Band440per,Band4mean,Band4median,Band4thirdquart,Band4std deviation,Band4firstquart,Band540per,Band5mean,Band5median,Band5thirdquart,Band5std deviation,Band5firstquart,Band640per,Band6mean,Band6median,Band6thirdquart,Band6std deviation,Band6firstquart,Band740per,Band7mean,Band7median,Band7thirdquart,Band7std deviation,Band7firstquart,Band840per,Band8mean,Band8median,Band8thirdquart,Band8std deviation,Band8firstquart,Band940per,Band9mean,Band9median,Band9thirdquart,Band9std deviation,Band9firstquart,Band1040per,Band10mean,Band10median,Band10thirdquart,Band10std deviation,Band10firstquart,county_num,pk_site_id,site_id,pk_permit_,permit_num,permittee,permit_yr,p_eff_date,p_exp_date,status,Version,MostRecAll,MostRecYr,site_name,loc_narr,is_active,size,size_units,crop_list,calc_acres,mtrs,hq_distric,site_distr,geometry
3090307,255.0,830.2573529411765,797.5,1406.0,575.4561297778272,255.0,255.0,765.1399195350915,648.5,1270.0,511.26034836567413,255.0,255.0,784.8899195350915,632.5,1306.0,532.1897242636687,255.0,255.0,255.0,255.0,255.0,0.0,255.0,255.0,952.2894033837937,799.5,1640.0,702.8234135384923,255.0,255.0,1220.2546749777382,1093.0,2160.0,971.576867838255,255.0,255.0,1371.206589492431,1191.5,2457.75,1123.8110848675908,255.0,255.0,1486.5641139804095,1294.0,2688.0,1241.2622256609955,255.0,255.0,554.1985294117649,498.5,846.25,302.8772640140902,255.0,14.0,134.15073529411765,135.0,255.0,120.85186027452072,13.0,57,7078424,RIH28,823622,570558A,BULLERO,2016,2016-01-01,2016-12-31,Revised,1,0,0,CR27/CR97,RICHARDS RANCH,1,105.0,ACRES,Unknown,110.49595152100001,M09N01E23,,,"POLYGON ((-158750.2425999995 68167.72039999999, -158697.75 68155.79020000063, -158609.4669000003 68170.10639999993, -158554.5881999992 68136.70199999958, -158521.1837000009 68115.22770000063, -158485.3933000006 68062.73509999923, -158442.4447000008 68055.57699999958, -158420.9704999998 68038.87480000034, -158425.7424999997 67778.7974999994, -159225.0625999998 67797.88570000045, -159213.1325000003 68294.1799999997, -159473.2096999995 68306.11009999923, -159463.6655999999 68559.02930000052, -159299.0295000002 68554.25720000081, -159246.5369000006 68535.16899999976, -159167.7979000006 68525.62490000017, -159136.7795000002 68504.15059999935, -159098.6030000001 68454.04399999976, -159050.8824000005 68399.16530000046, -158962.5993000008 68344.28659999929, -158881.4743000008 68298.95199999958, -158821.8234999999 68270.31970000081, -158776.4890000001 68227.37109999917, -158769.3309000004 68189.19470000081, -158750.2425999995 68167.72039999999))"
3147504,255.0,803.3295454545455,764.5,1332.0,550.5540333813935,255.0,255.0,717.7013316423588,672.0,1149.0,468.1396663341365,255.0,255.0,753.9080532656943,711.0,1216.0,504.8756520297914,255.0,255.0,255.0,255.0,255.0,0.0,255.0,255.0,931.0157068062828,876.0,1558.25,683.4615465534039,255.0,255.0,1268.806282722513,1052.0,2252.0,1024.1890735040745,255.0,255.0,1450.0405759162304,1190.0,2606.5,1209.338135011621,255.0,255.0,1607.8311518324606,1337.0,2908.5,1366.5087107548309,255.0,255.0,618.2954545454545,569.5,966.0,365.85019782974854,255.0,14.0,133.89772727272728,135.5,255.0,121.10495446031393,13.0,57,7227113,K53,837621,570016A,HERMLE FARMS,2016,2016-01-11,2016-12-31,Revised,1,0,0,,LIEBHARDT RCH,1,46.0,ACRES,Unknown,37.6272475465,M11N01E16,57.0,,"POLYGON ((-162562.8578999992 89677.58880000003, -162499.2854999993 89671.80949999951, -162467.4993999992 89671.80949999951, -162398.1477000006 89671.80949999951, -162317.2374000009 89460.86480000056, -162279.6719000004 89131.44439999945, -162288.3409000002 88963.84449999966, -162438.6028000005 88966.73420000076, -162493.5062000006 89229.69260000065, -162536.8509999998 89374.17520000041, -162591.7544 89535.99579999968, -162643.7682000007 89590.89919999987, -162721.7887999993 89559.1129999999, -162716.0095000006 89599.56819999963, -162690.0025999993 89593.78889999911, -162655.3267999999 89608.23709999956, -162649.5474999994 89622.68539999984, -162588.8648000006 89622.68539999984, -162562.8578999992 89628.46470000036, -162562.8578999992 89677.58880000003))"
3147952,255.0,928.3014705882354,832.5,1614.25,674.0959885376437,255.0,255.0,901.0730853391684,710.0,1561.0,648.2316314792253,255.0,255.0,960.0387308533916,735.5,1682.0,708.262211477292,255.0,255.0,255.0,255.0,255.0,0.0,255.0,255.0,1196.026956521739,914.5,2156.0,945.5086490140123,255.0,255.0,1298.695652173913,1090.0,2346.0,1046.3726925528142,255.0,255.0,1416.8156521739133,1222.5,2576.0,1164.391453271047,255.0,255.0,1535.1260869565217,1341.0,2803.0,1282.5953344403551,255.0,255.0,604.8676470588234,578.0,947.0,350.35788024162497,255.0,15.0,134.8014705882353,136.0,255.0,120.20141306873111,15.0,57,7227112,K52,837621,570016A,HERMLE FARMS,2016,2016-01-11,2016-12-31,Revised,1,0,0,,LIEBHARDT RCH,1,50.0,ACRES,Unknown,56.4921712882,M11N01E16,57.0,,"POLYGON ((-162813.8686999995 89686.08689999953, -162715.1978999991 89683.99929999933, -162724.2418000009 89548.11500000022, -162643.1564000007 89589.69620000012, -162577.5432999991 89483.15839999914, -162513.7611999996 89290.06570000015, -162446.5587000009 88967.00980000012, -162489.9886000007 88955.55819999985, -162491.4272000007 88887.55069999956, -162843.0713999998 88888.80580000021, -162820.0357000008 89686.2173999995, -162813.8686999995 89686.08689999953))"
3161889,255.0,745.9677419354839,721.5,1211.0,492.644066622924,255.0,255.0,613.4965483234714,586.5,949.0,362.19229746519386,255.0,255.0,611.4800295857988,580.0,946.0,360.80018536985017,255.0,255.0,255.0,255.0,255.0,0.0,255.0,255.0,685.4799599198396,638.5,1089.0,435.9607076060308,255.0,255.0,1938.729458917836,1252.0,3691.75,1705.2815666032106,255.0,255.0,2352.882765531062,1376.0,4543.75,2130.8072235966893,255.0,255.0,2453.408817635271,1485.5,4745.25,2231.629815284636,255.0,255.0,818.7177419354839,631.0,1391.5,572.9984034274311,255.0,12.0,132.90322580645162,134.5,255.0,122.09966971467564,11.0,57,7227105,H11W,837621,570016A,HERMLE FARMS,2016,2016-01-11,2016-12-31,Revised,1,0,0,,MIRANDA,1,45.0,ACRES,Unknown,50.38669801,M11N01E06,57.0,,"POLYGON ((-166017.8361000009 92216.30660000071, -165505.8833000008 92198.2237999998, -165517.2189000007 91490.6512000002, -166012.6681999993 92118.19280000031, -166017.8361000009 92216.30660000071))"
3170659,255.0,851.3671875,789.5,1460.0,597.0567114904915,255.0,255.0,802.529916625797,685.0,1351.0,547.9411891799557,255.0,255.0,829.0627758705248,727.5,1400.0,574.7352321157617,255.0,255.0,255.0,255.0,255.0,0.0,255.0,255.0,1018.9075875486383,941.0,1779.25,765.0041505830901,255.0,255.0,1112.2568093385214,1039.5,1945.0,861.1036060952749,255.0,255.0,1214.6439688715952,1140.5,2137.25,965.5179824369667,255.0,255.0,1320.5311284046693,1242.0,2354.0,1071.6063944355803,255.0,255.0,524.3203125,492.5,761.5,276.60824998976864,255.0,15.0,134.3125,135.0,255.0,120.68940961720708,13.0,57,7322687,NOE6,846599,570008A,BULLSEYE/BEEMAN FARMING,2016,2016-02-09,2016-12-31,Revised,2,0,0,,OESTE,1,50.0,ACRES,Unknown,50.3425974422,M08N02E06,,,"POLYGON ((-155777.5343999993 63006.72250000015, -155777.5343999993 62479.77899999917, -156232.0954999998 62494.25549999997, -156223.4096000008 62870.6436999999, -156223.4096000008 62873.5390000008, -155777.5343999993 63006.72250000015))"
3171043,255.0,796.8333333333335,773.5,1312.0,542.8028852375622,255.0,255.0,616.5507614213197,600.0,967.75,362.83075400621664,255.0,255.0,674.4086294416244,634.0,1092.0,420.3864828356324,255.0,255.0,255.0,255.0,255.0,0.0,255.0,255.0,777.1842105263157,719.5,1291.0,525.3461192526794,255.0,255.0,1886.657894736842,1583.0,3551.25,1634.7581589419112,255.0,255.0,2232.019736842105,1798.5,4254.0,1981.6387638517604,255.0,255.0,2342.993421052632,1882.5,4463.25,2092.376725591934,255.0,255.0,704.0,667.0,1174.0,450.4984276702121,255.0,13.8,133.83333333333334,135.0,255.0,121.16987616106937,12.75,57,7100720,C4,825105,570613A,DUPONT PIONEER PARENT SEED PRODUCTION,2016,2016-01-01,2016-12-31,Revised,2,0,0,county road 20,,1,5.0,ACRES,Unknown,6.01731141416,M10N01E27,57.0,,"POLYGON ((-160232.9085000008 76328.38010000065, -160237.6632000003 76315.30480000004, -160290.5588000007 76319.46509999968, -160286.9927999992 76694.48890000023, -160219.2389000002 76690.32860000059, -160227.5594999995 76336.70069999993, -160232.9085000008 76328.38010000065))"
3171435,255.0,783.3846153846154,733.0,1308.5,529.553155385461,255.0,255.0,631.6125265392783,584.5,970.0,382.7634565429958,255.0,255.0,667.8651804670912,549.0,1046.75,418.28342197823855,255.0,255.0,255.0,255.0,255.0,0.0,255.0,255.0,772.6111111111112,685.5,1237.0,526.5138029177089,255.0,255.0,1874.3760683760684,1251.0,3594.75,1640.3598949828977,255.0,255.0,2259.0256410256407,1400.0,4409.25,2036.3113898089396,255.0,255.0,2375.358974358974,1504.5,4620.0,2150.982728939784,255.0,255.0,726.8076923076923,621.0,1191.75,477.33064006077416,255.0,13.0,133.5,134.5,255.0,121.50316551748449,12.0,57,7100718,C2,825105,570613A,DUPONT PIONEER PARENT SEED PRODUCTION,2016,2016-01-01,2016-12-31,Revised,2,0,0,county road 20,,1,15.0,ACRES,Unknown,11.545895851600001,M10N01E22,57.0,,"POLYGON ((-160212.2397000007 77121.97409999929, -160216.2370999996 76891.45590000041, -160304.1805000007 76894.12089999951, -160321.5025999993 76720.89919999987, -160422.7707000002 76727.56149999984, -160410.7784000002 76958.07970000058, -160212.2397000007 77121.97409999929))"
3171634,255.0,853.609375,812.5,1462.0,598.9191858357098,255.0,255.0,801.1617115307354,730.0,1347.0,546.4044606670462,255.0,255.0,828.3702290076336,766.5,1398.0,573.8827997003151,255.0,255.0,255.0,255.0,255.0,0.0,255.0,255.0,1024.090206185567,970.5,1789.25,769.8821525431181,255.0,255.0,1114.3685567010311,1047.5,1958.0,861.4940893912112,255.0,255.0,1215.5,1141.5,2155.25,963.3278226991341,255.0,255.0,1319.6460481099655,1234.0,2361.0,1067.6063763007692,255.0,255.0,522.546875,496.5,772.0,269.8998037285955,255.0,15.0,134.46875,135.5,255.0,120.53344566317476,14.0,57,7322686,NOE2,846599,570008A,BULLSEYE/BEEMAN FARMING,2016,2016-02-09,2016-12-31,Revised,2,0,0,,OESTE,1,60.5,ACRES,Unknown,61.4495892125,M08N02E06,,,"POLYGON ((-155439.8950999994 63301.92889999971, -155449.4201999996 63023.79439999908, -155777.0855999999 63033.31949999928, -155965.6837000009 62985.69370000064, -156238.1031999998 62898.06230000034, -156230.4831000008 63317.16919999942, -155439.8950999994 63301.92889999971))"
3171637,255.0,802.8947368421052,782.0,1333.0,548.4294940758558,255.0,255.0,700.8445986722992,672.0,1137.0,446.5904781908332,255.0,255.0,721.5458660229331,693.0,1172.0,467.8864151736324,255.0,255.0,255.0,255.0,255.0,0.0,255.0,255.0,840.8964285714287,784.5,1401.0,588.8980285944954,255.0,255.0,1280.0142857142855,985.0,2339.75,1032.4337254346963,255.0,255.0,1420.1416666666669,1084.0,2619.5,1173.908994070293,255.0,255.0,1508.225,1150.0,2804.5,1261.756342259528,255.0,255.0,547.6184210526316,482.5,849.0,294.71462410383515,255.0,13.0,133.92105263157896,135.0,255.0,121.08096064398777,13.0,57,7322719,NOE7,846599,570008A,BULLSEYE/BEEMAN FARMING,2016,2016-02-09,2016-12-31,Revised,2,0,0,,OESTE,1,45.0,ACRES,Unknown,41.3530536041,M08N02E06,,,"POLYGON ((-155454.3866000008 63015.13570000045, -155463.6742000002 62464.84769999981, -155765.5198999997 62474.13529999927, -155763.1980000008 63019.77950000018, -155454.3866000008 63015.13570000045))"
3175260,255.0,732.9186046511627,712.5,1201.0,478.3585235947275,255.0,255.0,609.74375,574.0,957.0,355.67059779881873,255.0,255.0,603.6537828947369,561.5,949.0,349.8973012422513,255.0,255.0,255.0,255.0,255.0,0.0,255.0,255.0,683.0565789473684,607.0,1111.25,429.9778736154021,255.0,255.0,1739.5486842105265,1226.5,3255.25,1499.2780408191404,255.0,255.0,2194.657894736842,1388.0,4168.5,1963.3209325731186,255.0,255.0,2301.573684210526,1536.5,4377.5,2071.1533517373223,255.0,255.0,715.796511627907,616.5,1177.0,465.55257164425103,255.0,11.0,132.5872093023256,134.0,255.0,122.41569694959,10.0,57,7217292,AA2,836594,570028A,"HEIDRICK ENTERPRISES, JOE",2016,2016-04-01,2016-12-31,Revised,1,0,0,,ROTH,1,80.0,ACRES,Unknown,75.13682937760001,M08N01E01,57.0,,"POLYGON ((-158449.7213000003 63334.13069999963, -158586.4144000001 62948.65619999915, -158889.8729999997 62965.05939999968, -158854.3328000009 63738.74220000021, -158446.9874000009 63730.54059999995, -158449.7213000003 63334.13069999963))"
